fight_id,event_name,event_date,location,venue,fighter1,fighter2,winner,method,round,time,weight_class,title_fight,gender,num_rounds,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_dob,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_dob,fighter1_sig_strikes_pm,fighter1_sig_strikes_acc,fighter1_sig_strikes_abs_pm,fighter1_sig_strikes_def,fighter1_takedown_avg,fighter1_takedown_acc,fighter1_takedown_def,fighter1_sub_avg,fighter2_sig_strikes_pm,fighter2_sig_strikes_acc,fighter2_sig_strikes_abs_pm,fighter2_sig_strikes_def,fighter2_takedown_avg,fighter2_takedown_acc,fighter2_takedown_def,fighter2_sub_avg,fighter1_wins,fighter1_losses,fighter1_draws,fighter1_win_streak,fighter1_lose_streak,fighter1_ko_wins,fighter1_sub_wins,fighter1_dec_wins,fighter2_wins,fighter2_losses,fighter2_draws,fighter2_win_streak,fighter2_lose_streak,fighter2_ko_wins,fighter2_sub_wins,fighter2_dec_wins,fighter1_odds,fighter2_odds,favorite,underdog,betting_outcome,fighter1_rank,fighter2_rank,data_source,ppv_buys,attendance,bonus_type
846efa3c40be,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Felipe Arantes,Kevin Souza,Kevin Souza,,,,Featherweight,False,MALE,3,172.72,135.0,185.42,Orthodox,25,,182.88,145.0,187.96,Orthodox,28,,36.75,0.59,,,0.5,0.25,,0.0,,,,,,,,,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-275.0,250.0,,,,,,ufc_master,,,
7f8a30b1e256,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Lucas Martins,Junior Hernandez,Lucas Martins,,,,Bantamweight,False,MALE,3,182.88,145.0,182.88,Southpaw,24,,175.26,135.0,175.26,Orthodox,27,,25.5,0.365,,,0.0,0.0,,0.0,,,,,,,,,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-110.0,100.0,,,,,,ufc_master,,,
8c051e0111cc,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Joao Zeferino,Elias Silverio,Elias Silverio,DEC,3.0,5:00,Welterweight,False,MALE,3,180.34,170.0,185.42,Orthodox,27,,180.34,155.0,185.42,Orthodox,26,,14.0,0.35,,,0.0,0.0,,2.0,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.0,-110.0,,,,,,ufc_master,,,
4c79ec8a7b31,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Keith Wisniewski,Ivan Jorge,Ivan Jorge,DEC,3.0,5:00,Welterweight,False,MALE,3,182.88,170.0,190.5,Orthodox,31,,175.26,155.0,185.42,Orthodox,32,,27.6667,0.48,,,2.0,0.367,,0.3333,,,,,,,,,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,255.0,-280.0,,,,,,ufc_master,,,
531e1ee2fc0b,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Yuri Villefort,Sean Spencer,Sean Spencer,DEC,3.0,5:00,Welterweight,False,MALE,3,182.88,170.0,185.42,Orthodox,22,,177.8,170.0,190.5,Southpaw,26,,48.0,0.42,,,3.0,0.5,,1.0,12.0,0.14,,,0.0,0.0,,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-220.0,200.0,,,,,,ufc_master,,,
3836c24e7008,,2013-09-04,"Belo Horizonte, Minas Gerais, Brazil",,Marcos Vinicius,Ali Bagautinov,Ali Bagautinov,KO/TKO,3.0,3:28,Flyweight,False,MALE,3,175.26,125.0,177.8,Orthodox,33,,162.56,125.0,165.1,Orthodox,28,,16.0,0.37,,,0.0,0.0,,0.5,,,,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,315.0,-345.0,,,,,,ufc_master,,,
8ebed3dcfd7d,,2013-09-21,"Toronto, Ontario, Canada",,Pat Healy,Khabib Nurmagomedov,Khabib Nurmagomedov,DEC,3.0,5:00,Lightweight,False,MALE,3,182.88,155.0,187.96,Orthodox,30,,177.8,155.0,177.8,Orthodox,25,,33.0,0.525,,,2.5,0.355,,1.0,26.25,0.49,,,6.0,0.275,,0.75,0,2,0,0,2,0,0,0,4,0,0,4,0,1,1,2,245.0,-265.0,,,,,,ufc_master,,,
4c42c8a3708e,,2013-09-21,"Toronto, Ontario, Canada",,Jon Jones,Alexander Gustafsson,Jon Jones,DEC,5.0,5:00,Light Heavyweight,True,MALE,5,193.04,205.0,213.36,Orthodox,26,,195.58,205.0,200.66,Orthodox,26,,42.4615,0.569,,,2.0,0.661,,0.6154,29.125,0.345,,,1.25,0.333,,0.625,12,1,0,9,0,4,5,3,7,1,0,6,0,3,2,2,-840.0,660.0,,,,,,ufc_master,,,
eaa6204b1404,,2013-09-21,"Toronto, Ontario, Canada",,Renan Barao,Eddie Wineland,Renan Barao,KO/TKO,2.0,0:35,Bantamweight,True,MALE,5,167.64,135.0,177.8,Orthodox,26,,170.18,135.0,175.26,Orthodox,29,,61.6,0.368,,,2.0,0.25,,0.4,46.5,0.275,,,0.5,0.333,,0.0,5,0,0,5,0,0,2,3,2,2,0,2,0,1,0,1,-750.0,600.0,,,,,,ufc_master,,,
1cd30d6c03ad,,2013-09-21,"Toronto, Ontario, Canada",,Brendan Schaub,Matt Mitrione,Brendan Schaub,SUB,1.0,4:06,Heavyweight,False,MALE,3,193.04,245.0,198.12,Orthodox,30,,190.5,265.0,200.66,Switch,35,,22.25,0.481,,,1.125,0.14,,0.125,28.5,0.544,,,0.0,0.0,,0.5,5,3,0,1,0,3,0,2,6,2,0,1,0,5,0,1,145.0,-155.0,,,,,,ufc_master,,,
cd483d9eb196,,2013-09-21,"Toronto, Ontario, Canada",,Costas Philippou,Francis Carmont,Francis Carmont,,,,Middleweight,False,MALE,3,180.34,185.0,185.42,Orthodox,33,,190.5,205.0,198.12,Orthodox,31,,34.8333,0.417,,,0.5,0.277,,0.3333,25.8,0.534,,,1.4,0.336,,0.8,5,1,0,5,0,2,0,3,5,0,0,5,0,0,2,3,-145.0,135.0,,,,,,ufc_master,,,
